method,clust,prop
lichee,7,0.473279328
lichee,7,0.595674163
lichee,7,0.486714814
lichee,7,0.620749432
lichee,7,0.657465888
lichee,7,0.53937764
lichee,9,0.391098474
lichee,9,0.419169032
lichee,9,0.467531497
lichee,9,0.54053178
lichee,9,0.512973461
lichee,9,0.623947658
lichee,9,0.623947658
lichee,9,0.470155935
lichee,9,0.580721591
lichee,9,0.679534829
lichee,9,0.457063126
lichee,9,0.421679117
lichee,9,0.578642762
lichee,9,0.524249943
lichee,9,0.420026236
lichee,9,0.50836319
lichee,9,0.47347042
lichee,9,0.496545857
lichee,9,0.63960142
lichee,9,0.647834762
pictograph,5,0.422482156
pictograph,5,0.395356986
pictograph,5,0.334346593
pictograph,5,0.361468059
pictograph,5,0.392310541
pictograph,5,0.402299052
pictograph,5,0.379537401
pictograph,5,0.402299052
pictograph,5,0.350489455
pictograph,5,0.418104642
pictograph,5,0.381031341
pictograph,5,0.293192945
pictograph,5,0.335284396
pictograph,5,0.50061076
pictograph,5,0.474117241
pictograph,5,0.366429611
pictograph,5,0.416549787
pictograph,5,0.368587323
pictograph,5,0.333125479
pictograph,5,0.533832953
pictograph,7,0.390797626
pictograph,7,0.317050292
pictograph,7,0.488572382
pictograph,7,0.504524261
pictograph,7,0.521953589
pictograph,7,0.418282858
pictograph,7,0.524551771
pictograph,7,0.308417058
pictograph,7,0.355766008
pictograph,7,0.443279376
pictograph,7,0.483436773
pictograph,7,0.377387549
pictograph,7,0.399212912
pictograph,7,0.422308268
pictograph,7,0.544817154
pictograph,7,0.347733255
pictograph,7,0.45836119
pictograph,7,0.375026221
pictograph,7,0.462523074
pictograph,7,0.334981469
pictograph,9,0.50647871
pictograph,9,0.499906993
pictograph,9,0.46770175
pictograph,9,0.49583486
pictograph,9,0.418859358
pictograph,9,0.42683886
pictograph,9,0.432556027
pictograph,9,0.427217221
pictograph,9,0.463086506
pictograph,9,0.571017858
pictograph,9,0.471275291
pictograph,9,0.453300463
pictograph,9,0.481244752
pictograph,9,0.598056919
pictograph,9,0.447281659
pictograph,9,0.356752643
pictograph,9,0.489334546
pictograph,9,0.414021021
pictograph,9,0.428287391
pictograph,9,0.578181642
